state,p / MPa,t / degC,h / [J/kg],s / [J/(kg*K)]
1,19.99999999999984,490.0,814770.6273543431,6252.210954149836
2,8.999999999999998,340.33226084264174,642323.3863481312,6252.210954149836
3,9.0,500.0,820477.8383055605,6510.192060889295
4,3.0000000000000004,299.41262853408693,597308.1877697635,6510.192060889292
5,3.0000000000000284,32.5,311129.09120901185,5837.017046879812
6,3.0000000000000675,24.0,301882.7360323161,5806.3367764331
7,6.000000000000134,90.39657495518856,369936.67638796504,5806.3367764331
8,6.000000000007189,24.0,295780.27770787507,5580.971023433187
9,19.999999999999844,149.50359684809814,428187.1775163001,5580.971023433187
10,19.999999999999844,389.0,699914.6046199906,6090.794680987803
11,19.999999999996295,277.0,573539.2183132155,5881.718208696449
12,19.999999999995214,300.0,599479.7213340234,5927.911045564157
gasp[0],14.999999999999996,432.8773844380544,747408.3675476509,6252.210954149837
gasp[1],5.999999999999999,419.91779303739656,729598.3753230412,6510.192060889296
link[1],14.999999999999998,419.91779303739656,732799.9740858524,6231.327781037131
link[1],5.999999999999996,299.41262853408693,597215.449176758,6300.420414400508
alpha,0.5471939156351548
beta,-0.13168555344358926
r[0],1.7757259269229824
r[1],-2.773290734423734
eff,2.531473545855487
